Drink,fl oz,Caffeine (mg),mg/floz
Red Devil Energy Drink,16,160,10.0
Red Eye Energy Drink,11.1,106,9.5
Red Power Elixir,12,160,13.3
Red Thunder Energy Drink,12,120,10.0
Red Thunder Energy Shot,2,138,69.0
Red Thunder Extra Strength,2,230,115.0
Redline Max 300,2.5,300,120.0
Redline Princess,8,300,37.5
Redline Xtreme Energy Drink,8,316,39.5
Redline Xtreme Shot,3,300,100.0
Reed's Ginger Energize Shot,2,100,50.0
Reign Storm,12,200,16.7
Reign Total Body Fuel,16,300,18.8
Revv Coffee Pods,8,127,15.9
Riot Energy,16,160,10.0
Rip It Energy Drink,16,160,10.0
Rip It Energy Shot,2,120,60.0
Rise Nitro Cold Brew Coffee,10,250,25.0
Ritz Cola,12,10,0.9
Roaring Lion Energy Drink,8,77,9.6
Robusta Coffee,8,265,33.1
Rockstar Boom,16,160,10.0
Rockstar Energy Drink (Original),16,160,10.0
Rockstar Halo Infinite,16,240,15.0
Rockstar Juiced,16,170,10.6
Rockstar Organic Energy Drink,15,160,10.7
Rockstar Punched,16,240,15.0
Rockstar Pure Zero,16,240,15.0
Rockstar Recovery,16,160,10.0
Rockstar Sugar Free,16,160,10.0
Rockstar Thermo,16,300,18.8
Rockstar Unplugged,8,80,10.0
Rockstar XDurance,16,300,18.8
Rockstar Zero Carb,16,240,15.0
Rogue Energy Drink,16,200,12.5
Rogue Energy Drink Mix,16,175,10.9
RootJack Caffeinated Pirate Root Beer,12,120,10.0
Rowdy Energy Drink,16,160,10.0
Ruby Red Squirt,12,39,3.2
Runa,12,150,12.5
Rush! Energy Drink,8.3,80,9.6
Ryse Fuel,16,200,12.5
Sambazon Amazon Energy Drink,12,120,10.0
Sarsaparilla,12,0,0.0
Scheckters Energy Drink,8.46,80,9.5
Screamin Energy Max Hit,0.61,185,303.3
Seattle's Best Brewed Coffee,12,260,21.7
Sencha Green Tea Shot,6.4,40,6.2
Shasta Cola,12,43,3.6
Shasta Diet Cola,12,47,3.9
Shasta Mountain Rush,12,54,4.5
Ski Soda,12,69,5.8
Slammers Energy Drink (EU),8.46,80,9.5
SlimFast Shake - Cappuccino,11,100,9.1
Slurpee,12,30,2.5
Snapple Tea,16,37,2.3
Sneak Energy Drink Mix,16,150,9.4
SoBe Energy Citrus,20,81,4.0
SoBe Green Tea,20,7,0.3
Soda Stream,8,31,3.9
Solimo Energy Drink,16,152,9.5
Source 1899 (UK),8.46,80,9.5
Southern Sweet Tea,16,41,2.6
Soylent Stacked,11.16,100,9.0
Spark Energy Drink Mix,8,120,15.0
Sparkling Ice Caffeine,16,70,4.4
Sparkling Ice Energy,12,160,13.3
Speed Energy Fuel,16,186,11.6
Spider Energy Drink,16,240,15.0
Spike Energy Double Shot,4.26,350,82.2
Spike Hardcore Energy,16,350,21.9
Spike Shooter,12,300,25.0
Sprecher Cherry Cola,16,0,0.0
Sprite,12,0,0.0
Squirt Soda,12,0,0.0
Stacker Extreme Energy Shot,2,205,102.5
Starbucks 2X Coffee Pods,8,260,32.5
Starbucks Bottled Iced Coffee,48,640,13.3
Starbucks Canned Nitro Cold Brew,11,235,21.4
Starbucks Caramel Macchiato,16,150,9.4
Starbucks Cold & Crafted,11,135,12.3
Starbucks Cold Brew Bottled,11,180,16.4
Starbucks Cold Brew Canned,11,165,15.0
Starbucks Cold Brew Coffee,16,205,12.8
Starbucks Cordusio Mocha,8,155,19.4
Starbucks Decaf Coffee,16,25,1.6
Starbucks Doubleshot Energy,15,135,9.0
Starbucks Doubleshot Espresso,6.5,120,18.5
Starbucks Frappuccino (Bottled),13.7,110,8.0
Starbucks Grande Caffe Americano,16,225,14.1
Starbucks Grande Caffe Latte,16,150,9.4
Starbucks Grande Caffe Mocha,16,175,10.9
Starbucks Grande Cappuccino,16,150,9.4
Starbucks Grande Coffee,16,310,19.4
Starbucks Iced Americano,16,225,14.1
Starbucks Iced Espresso Classics,12,125,10.4
Starbucks Nitro Cold Brew Coffee,16,280,17.5
Starbucks Pink Drink,16,45,2.8
Starbucks Pumpkin Cream Cold Brew,16,185,11.6
Starbucks Refreshers,16,45,2.8
Starbucks Refreshers Canned,12,50,4.2
Starbucks Triple Shot Energy,15,225,15.0
Starbucks Verismo Coffee Pods,8,60,7.5
Starbucks Via Ready Brew,8,135,16.9
Steaz Energy,12,100,8.3
Steep 18 Cold Brew,8,90,11.2
Sting Energy Drink,8.455,72,8.5
Stipe Miocic Extra Strength Coffee,12,500,41.7
Stok Coffee Shots,0.43,40,93.0
Stok Cold Brew,13.7,145,10.6
Strike Force Energy Drink Mix,16.91,160,9.5
Stumptown Cold Brew Coffee,10.5,279,26.6
Stumptown Nitro Cold Brew,11,330,30.0
Sudden Instant Coffee,12,95,7.9
Sun Drop Soda,12,64,5.3
Sunkist Orange Soda,12,19,1.6
Sunup Pure Green Coffee,11,200,18.2
T-Virus Antidote,12,100,8.3
Taft Coffee (EU),12,1182,98.5
Taiwanese Milk Tea,16,151,9.4
Taster's Choice Instant Coffee,8,49,6.1
Taurus Energy Drink,8.46,50,5.9
Tazo Chai,8,47,5.9
Tea (Black),8,42,5.2
Tea (Decaf),8,4,0.5
Tea (Green),8,18,2.2
Tea (Herbal),8,0,0.0
Tea (Iced),8,47,5.9
Tea (Instant),8,40,5.0
Tea (Jasmine),8,25,3.1
Tea (Oolong),8,37,4.6
Tea (White),8,28,3.5
Teas' Tea Oolong,16.9,70,4.1
Teavana Tea,8,41,5.1
Tejava Iced Tea,12,50,4.2
TENZING Natural Energy,8.46,80,9.5
Tiger Energy Drink,8.46,80,9.5
Tim Hortons Large Brewed Coffee,20,270,13.5
Tim Hortons Small French Vanilla Coffee,10,60,6.0
Tonic Water,10,0,0.0
Triton Energy Drink,16,200,12.5
Tropicana Twister Soda,20,0,0.0
Tru Energy Wakeup,12,100,8.3
TruBrain Extra,1,100,100.0
True Lemon Energy Mix,16,120,7.5
TrueStart Performance Coffee,5.1,95,18.6
Turkey Hill Iced Tea,12,64,5.3
Turkish Coffee,2,50,25.0
Tweaker Energy Drink,8.46,80,9.5
Tweaker Shot,2,275,137.5
Twig Tea (Kukicha),8,25,3.1
Ugly Energy Water,16,160,10.0
UPTIME Energy Drink,12,142,11.8
USANA Rev3 Energy Drink,12,120,10.0
V Iced Coffee,16.91,155,9.2
V Energy Drink,8.45,78,9.2
V8 +Energy Drink,8,80,10.0
Venom Death Adder,16,160,10.0
Vernors Ginger Ale,12,0,0.0
Very Strong Coffee,12,1350,112.5
Virtue Clean Energy Beverage,8.46,80,9.5
Viso Energy Drink,17,300,17.6
Vital 4U Liquid Energy,0.5,155,310.0
VitaminWater Energy,20,50,2.5
VitaRain Zero Enhanced Water,20,42,2.1
Voila Instant Coffee,8,100,12.5
Vuum,12,135,11.2
Waka Decaf Instant Coffee,8,4,0.5
Waka Indian Instant Coffee,8,70,8.8
Waka Instant Coffee,8,70,8.8
Waka Instant Tea,8,30,3.8
Water Joe,20,70,3.5
Wave Soda,12,42,3.5
Wawa Coffee,16,290,18.1
Wendy's Iced Tea,16,32,2.0
Whipped (Dalgona) Coffee,8,105,13.1
Wide Awake Coffee Cold Brew,11,120,10.9
Wide Awake Energy Coffee,15,180,12.0
Wide Awake Iced Coffee Drinks,13.7,30,2.2
Wild Cherry Pepsi,12,38,3.2
Wild Tiger Energy Drink,8.36,75,9.0
Wildcat Energy Drink (UK),8.46,80,9.5
Wired X 3000 Energy Drink,16,185,11.6
Wired X Berry Rush,16,95,5.9
Wired X344 Energy Drink,16,344,21.5
Woke Up Energy Shot,1.93,225,116.6
X Ray Energy Drink,8.46,79,9.3
X-Mode Energy Shot,1,150,150.0
Xing Craft Brew,16,120,7.5
Xingtea Iced Green Tea,23.5,110,4.7
XL Energy Drink (EU),8.45,80,9.5
XS Energy Drink,8.4,80,9.5
Xyience Energy Drink,16,160,10.0
Yellow Tea,8,63,7.9
Yerba Mate Tea,8,40,5.0
Yerbae Sparkling Water,12,100,8.3
YMateina Yerba Mate,8,80,10.0
Zest Highly Caffeinated Tea,8,150,18.8
Zest Sparkling Tea,12,135,11.2
Zevia Cola,12,45,3.8
Zevia Energy Drink,12,120,10.0
ZipFizz Energy Drink Mix,16,100,6.2
Zoa Energy Drink,16,160,10.0
Zola Coconut Water Espresso,17.5,125,7.1
Zombie Blood Energy Potion,3.4,80,23.5 
